X,Y,fid,name,elev,type,description,fdd,fdc,id_colaborador
-64.37034,-22.752019,"1",,"712",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-64.4025,-22.758154,"2",,"750",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-64.43934,-26.068543,"3",Cantero,"817",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.13275,-26.599987,"4",,"953",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.81653,-27.371522,"5",,"908",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-65.84714,-27.424098,"6",,"988",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.28479,-30.283456,"7",Yeseram ,"1022",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.28325,-30.281591,"8",Jesera,"1022",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.50071,-29.269696,"9",Santa Cruz,"1084",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.07289,-29.93021,"10",,"1044",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.09281,-29.895172,"11",,"1074",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-67.08732,-29.910286,"12",,"1076",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.4479,-40.041599,"13",Tapera de Rojas,"1067",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.12448,-40.254115,"14",Yuncán,"1017",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.91635,-40.124581,"15",Chimehuin,"1008",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-68.71438,-37.697486,"16",,"1017",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-69.50061,-39.079111,"17",Barda Colorada,"1014",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
-70.95679,-40.558714,"18",Aguada de Negro,"1095",Cerro,,2023/10/04,mgc,Marcos Gustavo Cortina
